id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.2734928,501100001988363,1970,Sloopvergunning verleend,bijeenkomstfunctie,520,520,1,"POLYGON Z ((74681.591 433406.888 0, 74681.46000000001 433418.725 0, 74683.459 433418.748 0, 74683.375 433426.298 0, 74694.117 433426.417 0, 74694.201 433418.809 0, 74694.24800000001 433414.487 0, 74694.251 433414.235 0, 74691.803 433414.208 0, 74691.92200000001 433403.462 0, 74681.63 433403.349 0, 74681.601 433405.988 0, 74681.591 433406.888 0))"
pand.2735101,501100001988550,1961,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((69543.10000000001 435506.3 0, 69555.60000000001 435517.5 0, 69563.5 435509.3 0, 69556.2 435502.9 0, 69555.60000000001 435503.6 0, 69550.10000000001 435498.6 0, 69543.10000000001 435506.3 0))"
pand.948294,518100000208487,1980,Sloopvergunning verleend,winkelfunctie,75,75,1,"POLYGON Z ((74950.931 453982.747 0, 74961.21400000001 453974.129 0, 74958.694 453971.151 0, 74956.67999999999 453972.828 0, 74950 453978.389 0, 74948.44899999999 453979.783 0, 74950.931 453982.747 0))"
pand.948295,518100000208488,1980,Sloopvergunning verleend,industriefunctie,565,565,1,"POLYGON Z ((74930.584 453950.016 0, 74944.447 453938.174 0, 74941.36599999999 453934.527 0, 74941.274 453934.604 0, 74938.262 453931.008 0, 74934.75900000001 453933.949 0, 74935.535 453934.842 0, 74934.61500000001 453935.701 0, 74935.372 453936.637 0, 74935.087 453936.898 0, 74936.57000000001 453938.703 0, 74935.484 453939.62 0, 74927.496 453946.346 0, 74930.584 453950.016 0))"
pand.948396,518100000208593,1973,Sloopvergunning verleend,woonfunctie,150,150,1,"POLYGON Z ((74231.822 450663.123 0, 74235.75999999999 450655.05 0, 74222.71400000001 450648.686 0, 74218.784 450656.794 0, 74223.769 450659.21 0, 74223.96799999999 450658.805 0, 74231.724 450662.593 0, 74231.53999999999 450662.993 0, 74231.822 450663.123 0))"
pand.948563,518100000208762,1964,Sloopvergunning verleend,overige gebruiksfunctie,38,38,1,"POLYGON Z ((77993.023 457530.837 0, 77987.659 457524.976 0, 77987.04700000001 457525.52 0, 77984.056 457528.178 0, 77989.109 457533.863 0, 77992.284 457531.408 0, 77993.023 457530.837 0))"
pand.4688407,518100000307606,1931,Sloopvergunning verleend,woonfunctie,87,87,1,"POLYGON Z ((81524.228 452182.016 0, 81524.63800000001 452176.97 0, 81514.477 452176.085 0, 81514.31600000001 452178.406 0, 81515.31600000001 452178.505 0, 81515.102 452181.27 0, 81515.367 452181.292 0, 81524.228 452182.016 0))"
pand.4689095,518100000308325,1931,Sloopvergunning verleend,woonfunctie,48,76,5,"POLYGON Z ((81579.501 452106.58 0, 81580.747 452091.306 0, 81571.58900000001 452090.503 0, 81570.961 452098.271 0, 81570.34600000001 452105.878 0, 81579.501 452106.58 0))"
pand.5034577,1842100000004247,1972,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((81549.78599999999 446435.066 0, 81545.49000000001 446432.228 0, 81544.079 446434.364 0, 81548.375 446437.202 0, 81549.78599999999 446435.066 0))"
pand.5034578,1842100000004248,1963,Sloopvergunning verleend,woonfunctie,144,144,1,"POLYGON Z ((81606.783 446329.704 0, 81598.851 446325.025 0, 81593.94100000001 446333.348 0, 81601.781 446337.972 0, 81603.53 446335.007 0, 81601.295 446333.688 0, 81602.28999999999 446332.001 0, 81604.618 446333.374 0, 81606.783 446329.704 0))"
pand.5034579,1842100000004252,1936,Sloopvergunning verleend,woonfunctie,184,184,1,"POLYGON Z ((81534.92999999999 446469.296 0, 81525.549 446463.347 0, 81520.75599999999 446470.904 0, 81530.13800000001 446476.853 0, 81534.92999999999 446469.296 0))"
pand.5035354,1842100000005094,1971,Sloopvergunning verleend,woonfunctie,184,184,1,"POLYGON Z ((77704.939 440599.508 0, 77708.364 440597.733 0, 77704.83500000001 440590.927 0, 77694.308 440596.384 0, 77699.272 440605.96 0, 77706.375 440602.278 0, 77704.939 440599.508 0))"
pand.5035480,1842100000005233,1957,Sloopvergunning verleend,industriefunctie,460,460,1,"POLYGON Z ((79215.739 441194.487 0, 79208.81200000001 441189.778 0, 79200.43799999999 441202.906 0, 79206.273 441206.88 0, 79206.16 441207.045 0, 79220.173 441216.583 0, 79222.35799999999 441213.253 0, 79229.02499999999 441217.623 0, 79232.111 441213.1 0, 79227.86500000001 441210.31 0, 79231.389 441205.126 0, 79220.19 441197.513 0, 79222.40700000001 441194.232 0, 79217.948 441191.223 0, 79215.739 441194.487 0))"
pand.676895,1783100000040230,1910,Sloopvergunning verleend,woonfunctie,92,92,1,"POLYGON Z ((74592.921 448576.55 0, 74595.63099999999 448566.918 0, 74587.477 448564.624 0, 74586.30100000001 448568.804 0, 74585.283 448568.518 0, 74584.842 448568.384 0, 74584.07000000001 448571.157 0, 74584.51300000001 448571.312 0, 74583.82799999999 448573.992 0, 74592.921 448576.55 0))"
pand.676896,1783100000040231,1951,Sloopvergunning verleend,woonfunctie,129,129,1,"POLYGON Z ((74583.417 448575.456 0, 74583.82799999999 448573.992 0, 74584.51300000001 448571.312 0, 74584.07000000001 448571.157 0, 74584.842 448568.384 0, 74585.283 448568.518 0, 74586.455 448564.35 0, 74581.939 448563.08 0, 74580.751 448567.303 0, 74575.162 448565.73 0, 74573.625 448571.193 0, 74579.193 448572.76 0, 74578.8 448574.157 0, 74583.417 448575.456 0))"
